t,x,y,vx,vy,ax,ay
7.828413,3.935664,-0.189563,1.138297,0.166654,-0.173688,-0.258871
7.878275,3.992202,-0.181573,1.129428,0.153861,-0.180986,-0.254560
7.928138,4.048292,-0.174216,1.120348,0.141244,-0.182254,-0.251732
7.978000,4.103930,-0.167486,1.111346,0.128738,-0.177914,-0.250058
8.027863,4.159127,-0.161377,1.102692,0.116293,-0.168389,-0.249207
8.077725,4.213906,-0.155888,1.094633,0.103877,-0.154103,-0.248850
8.127588,4.268303,-0.151018,1.087396,0.091474,-0.135479,-0.248656
8.177450,4.322364,-0.146766,1.081187,0.079083,-0.112941,-0.248295
8.227313,4.376145,-0.143131,1.076191,0.066721,-0.086911,-0.247438
8.277175,4.429710,-0.140111,1.072571,0.054421,-0.057813,-0.245755
8.327038,4.483132,-0.137702,1.070470,0.042232,-0.026071,-0.242915
8.376901,4.536490,-0.135896,1.070008,0.030221,0.007899,-0.238592
8.426763,4.589868,-0.134684,1.071289,0.018468,0.043739,-0.232499
8.476626,4.643355,-0.134049,1.074396,0.007069,0.081117,-0.224364
8.526488,4.697043,-0.133971,1.079398,-0.003868,0.119701,-0.213918
8.576351,4.751030,-0.134425,1.086347,-0.014221,0.159163,-0.200890
8.626213,4.805412,-0.135377,1.095280,-0.023855,0.199170,-0.185010
8.676076,4.860290,-0.136789,1.106213,-0.032620,0.239391,-0.166007
8.725938,4.915763,-0.138613,1.119151,-0.040353,0.279497,-0.143611
8.775801,4.971930,-0.140793,1.134079,-0.046880,0.319156,-0.117552
8.825663,5.028891,-0.143265,1.150966,-0.052011,0.358037,-0.087560
8.875526,5.086742,-0.145954,1.169765,-0.055543,0.395768,-0.053454
8.925388,5.145577,-0.148774,1.190402,-0.057285,0.431570,-0.015943
8.975251,5.205484,-0.151634,1.212754,-0.057097,0.464431,0.023761
9.025113,5.266544,-0.154435,1.236651,-0.054899,0.493338,0.064440
9.074976,5.328831,-0.157075,1.261870,-0.050674,0.517277,0.104874
9.124838,5.392402,-0.159455,1.288137,-0.044465,0.535234,0.143846
9.174701,5.457302,-0.161478,1.315130,-0.036374,0.546195,0.180137
9.224563,5.523559,-0.163054,1.342474,-0.026566,0.549147,0.212529
9.274426,5.591179,-0.164103,1.369744,-0.015265,0.543076,0.239804
